NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
1305;Breakfast;Door;PIR;Living
1306;Breakfast;Door;PIR;Kitchen
1307;Breakfast;Fridge;Magnetic;Kitchen
1308;Breakfast;Fridge;Magnetic;Kitchen
1309;Breakfast;Fridge;Magnetic;Kitchen
1310;Breakfast;Door;PIR;Kitchen
1311;Breakfast;Door;PIR;Bedroom
1312;Toileting;Toilet;Flush;Bathroom
1313;Toileting;Door;PIR;Kitchen
1314;Toileting;Door;PIR;Kitchen
1315;Toileting;Door;PIR;Living
1316;Toileting;Door;PIR;Living
1317;Grooming;Basin;PIR;Bathroom
1318;Grooming;Door;PIR;Living
1319;Grooming;Door;PIR;Living
1320;Grooming;Basin;PIR;Bathroom
1321;Grooming;Basin;PIR;Bathroom
1322;Grooming;Basin;PIR;Bathroom
1323;Toileting;Toilet;Flush;Bathroom
1324;Leaving;Maindoor;Magnetic;Entrance
1325;Leaving;Maindoor;Magnetic;Entrance
1326;Leaving;Door;PIR;Living
1327;Spare_Time/TV;Door;PIR;Living
1328;Spare_Time/TV;Door;PIR;Living
1329;Spare_Time/TV;Door;PIR;Kitchen
1330;Spare_Time/TV;Door;PIR;Living
1331;Spare_Time/TV;Seat;Pressure;Living
1332;Spare_Time/TV;Door;PIR;Living
1333;Spare_Time/TV;Door;PIR;Kitchen
1334;Snack;Door;PIR;Kitchen
1335;Snack;Fridge;Magnetic;Kitchen
1336;Snack;Door;PIR;Kitchen
1337;Snack;Door;PIR;Living
1338;Spare_Time/TV;Door;PIR;Living
1339;Spare_Time/TV;Seat;Pressure;Living
1340;Spare_Time/TV;Door;PIR;Living
1341;Spare_Time/TV;Door;PIR;Living
1342;Spare_Time/TV;Seat;Pressure;Living
1343;Spare_Time/TV;Door;PIR;Living
1344;Toileting;Toilet;Flush;Bathroom
1345;Toileting;Basin;PIR;Bathroom
1346;Grooming;Door;PIR;Bedroom
1347;Grooming;Door;PIR;Bedroom
1348;Grooming;Door;PIR;Living
1349;Spare_Time/TV;Seat;Pressure;Living
1350;Spare_Time/TV;Door;PIR;Living
1351;Spare_Time/TV;Door;PIR;Kitchen
1352;Dinner;Door;PIR;Kitchen
1353;Dinner;Fridge;Magnetic;Kitchen
1354;Dinner;Door;PIR;Kitchen
1355;Dinner;Door;PIR;Living
1356;Dinner;Door;PIR;Living
1357;Dinner;Door;PIR;Bedroom
1358;Spare_Time/TV;Door;PIR;Living
1359;Spare_Time/TV;Door;PIR;Kitchen
1360;Spare_Time/TV;Door;PIR;Kitchen
1361;Spare_Time/TV;Door;PIR;Living
1362;Spare_Time/TV;Door;PIR;Living
1363;Spare_Time/TV;Door;PIR;Bedroom
1364;Spare_Time/TV;Door;PIR;Bedroom
1365;Spare_Time/TV;Door;PIR;Living
1366;Spare_Time/TV;Door;PIR;Living
1367;Spare_Time/TV;Door;PIR;Living
1368;Spare_Time/TV;Door;PIR;Living
1369;Toileting;Toilet;Flush;Bathroom
1370;Toileting;Door;PIR;Bedroom
1371;Toileting;Toilet;Flush;Bathroom
1372;Toileting;Door;PIR;Living
1373;Toileting;Door;PIR;Living
1374;Toileting;Basin;PIR;Bathroom
1375;Toileting;Door;PIR;Living
1376;Toileting;Door;PIR;Living
1377;Breakfast;Door;PIR;Living
1378;Breakfast;Door;PIR;Kitchen
1379;Breakfast;Fridge;Magnetic;Kitchen
1380;Breakfast;Fridge;Magnetic;Kitchen
1381;Breakfast;Fridge;Magnetic;Kitchen
1382;Breakfast;Fridge;Magnetic;Kitchen
1383;Breakfast;Cupboard;Magnetic;Kitchen
1384;Breakfast;Door;PIR;Kitchen
1385;Breakfast;Door;PIR;Living
1386;Breakfast;Door;PIR;Living
1387;Breakfast;Door;PIR;Bedroom
1388;Breakfast;Door;PIR;Bedroom
1389;Breakfast;Door;PIR;Kitchen
1390;Breakfast;Fridge;Magnetic;Kitchen
1391;Breakfast;Door;PIR;Kitchen
1392;Breakfast;Door;PIR;Living
1393;Breakfast;Door;PIR;Living
1394;Grooming;Basin;PIR;Bathroom
1395;Showering;Shower;PIR;Bathroom
1396;Grooming;Basin;PIR;Bathroom
1397;Grooming;Door;PIR;Living
1398;Spare_Time/TV;Seat;Pressure;Living
1399;Grooming;Door;PIR;Living
1400;Grooming;Basin;PIR;Bathroom
1401;Toileting;Toilet;Flush;Bathroom
1402;Toileting;Basin;PIR;Bathroom
1403;Toileting;Door;PIR;Living
1404;Spare_Time/TV;Seat;Pressure;Living
1405;Spare_Time/TV;Door;PIR;Living
1406;Spare_Time/TV;Door;PIR;Kitchen
1407;Lunch;Door;PIR;Living
1408;Lunch;Door;PIR;Kitchen
1409;Lunch;Door;PIR;Kitchen
1410;Lunch;Door;PIR;Living
1411;Lunch;Door;PIR;Living
1412;Lunch;Door;PIR;Kitchen
1413;Lunch;Fridge;Magnetic;Kitchen
1414;Lunch;Fridge;Magnetic;Kitchen
1415;Lunch;Door;PIR;Kitchen
1416;Lunch;Door;PIR;Living
1417;Lunch;Door;PIR;Living
1418;Lunch;Door;PIR;Kitchen
1419;Lunch;Door;PIR;Kitchen
1420;Lunch;Door;PIR;Living
1421;Spare_Time/TV;Seat;Pressure;Living
1422;Snack;Door;PIR;Living
1423;Snack;Door;PIR;Kitchen
1424;Snack;Fridge;Magnetic;Kitchen
1425;Snack;Door;PIR;Kitchen
1426;Toileting;Toilet;Flush;Bathroom
1427;Toileting;Door;PIR;Kitchen
1428;Spare_Time/TV;Door;PIR;Kitchen
1429;Spare_Time/TV;Door;PIR;Living
1430;Spare_Time/TV;Seat;Pressure;Living
1431;Spare_Time/TV;Door;PIR;Living
1432;Spare_Time/TV;Door;PIR;Kitchen
1433;Spare_Time/TV;Door;PIR;Kitchen
1434;Spare_Time/TV;Door;PIR;Living
1435;Spare_Time/TV;Seat;Pressure;Living
1436;Spare_Time/TV;Door;PIR;Living
1437;Spare_Time/TV;Door;PIR;Kitchen
1438;Spare_Time/TV;Fridge;Magnetic;Kitchen
1439;Dinner;Door;PIR;Kitchen
1440;Dinner;Door;PIR;Living
1441;Spare_Time/TV;Seat;Pressure;Living
1442;Spare_Time/TV;Door;PIR;Living
